Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
155	single	Blossom	Coletta	None	Blossom	pop punk	2018	https://p.scdn.co/mp3-preview/faad55816ee2ef8e759e0d4a0aa04ba507e25f54
156	single	Button Season	Origami Button	None	Sorbet	pop punk	2019	https://p.scdn.co/mp3-preview/34782bdbfc1815bf329fdab11230757aafd9ae9e
157	album	RICH SIPS	Bilmuri	No Dice	SOURDOUGHSTARTER	pop punk	2019	https://p.scdn.co/mp3-preview/977f37c47c759f21de2da7973dacb12706defc3e
158	single	Monstro	Wolf & Bear	None	Monstro	pop punk	2020	https://p.scdn.co/mp3-preview/f8b565ea5414048779a6875ed409dcaca4d0b3cf
159	single	Mind & Time	Coletta	None	Handbook for the Recently Deceased	pop punk	2018	https://p.scdn.co/mp3-preview/000c5d73c26ac968100ad788d541903a8d07aecc
160	album	Meta +	Maraton	None	Prime	norwegian prog	2020	https://p.scdn.co/mp3-preview/5d23594dc2e58e0539debaf685b8f45be5eec9e1
161	single	Transient (acoustic)	Makari	None	Transient (acoustic)	pop punk	2020	https://p.scdn.co/mp3-preview/6080ae71d01be50c24925c348b53acf9e655bdb2
162	single	Blossom	Coletta	None	Blossom	pop punk	2018	https://p.scdn.co/mp3-preview/faad55816ee2ef8e759e0d4a0aa04ba507e25f54
163	single	Misery Business	Machine Gun Kelly	Travis Barker	Misery Business	pop rap	2020	https://p.scdn.co/mp3-preview/60e1df41e096d4126a51efb7fc030d70c131cc14
164	album	Hotel Diablo	Machine Gun Kelly	YUNGBLUD, Travis Barker	I Think I'm OKAY	pop rap	2019	https://p.scdn.co/mp3-preview/0657c43479b44221f95fb3e56162307f4239e19a
165	album	Spiritbox	Spiritbox	None	The Mara Effect, Pt.3	djent	2017	https://p.scdn.co/mp3-preview/4a6b17cb571b5921f6c9da72a42fc397bebc35f1
166	single	Redux	Good Tiger	None	Salt of the Earth - Acoustic	djent	2019	https://p.scdn.co/mp3-preview/9e01fbf7ea1d95cc876a546701fe5150ad0fa717
167	album	To The Bone	Steven Wilson	None	To The Bone	progressive metal	2017	https://p.scdn.co/mp3-preview/efaf69e502881071ae2fca331f3d622a0ee78691
168	album	Under the Red and White Sky	John Wesley	None	Rome is Burning	neo-progressive	1994	https://p.scdn.co/mp3-preview/45bf79b2ed75e8467bcbc84590686a98e3b3a52e
169	album	Sunsets & Car Crashes	The Spill Canvas	None	The Tide	pop punk	2003	https://p.scdn.co/mp3-preview/a2626a0b11ffbc6fa9bf1e76e64f1c2b5a690dc1
170	album	Haus Party, Pt. 1	Todrick Hall	None	Relove	dance pop	2019	https://p.scdn.co/mp3-preview/78fa995005e88b5d5388204151dc05ed84fdba36
171	album	Haus Party, Pt. 1	Todrick Hall	None	Glitter	dance pop	2019	https://p.scdn.co/mp3-preview/a3a9dbec931a9db0cdced54492288f3c2c96692d
172	album	Haus Party, Pt. 1	Todrick Hall	None	Attention	dance pop	2019	https://p.scdn.co/mp3-preview/0b3ad35b3a65dfab6f9e9e76b5c3744d0e0e8dbc
173	single	Thinking 'Bout You	Dua Lipa	None	Thinking 'Bout You	dance pop	2017	https://p.scdn.co/mp3-preview/d4173229065432870fbd7e87736792736b29e5d6
174	album	EPdemic	illScarlett	None	Rally - New Mix - 2008	pop punk	2006	https://p.scdn.co/mp3-preview/8005b2b48ab8a07633403e4ca8a785be73fcd7c2
175	album	EPdemic	illScarlett	None	Mary Jane - New Mix - 2008	pop punk	2006	https://p.scdn.co/mp3-preview/c0151dd9d712b062876e3427e40eec41637e8083
