Entry Number	Album Type	Album Name	Artist	Featured Artists	Song Name	Genre	Release Year	Preview URL
422	single	To Do	Mark Farina	Kaskade	Dream Machine - Kaskade Mix	electro jazz	2003	https://p.scdn.co/mp3-preview/4920f56263dcb819edf789facabeac0c4236aa9f
423	album	Mothership	Dance Gavin Dance	None	Young Robot	pop punk	2016	https://p.scdn.co/mp3-preview/8882c6da8c40db50fe1973a9ff4b3bec770b9d26
424	album	Salute (Expanded Edition)	Little Mix	None	Move	pop	2013	https://p.scdn.co/mp3-preview/bdedb999f5dc4b8838fb1dc0416984db17bd23ef
425	album	Rainbow	Kesha	None	Hymn	pop	2017	https://p.scdn.co/mp3-preview/d26cfb8afea52313ef1aadd855d408d0b625fc2e
426	album	Tell Me You Love Me (Deluxe)	Demi Lovato	None	Sorry Not Sorry	dance pop	2017	https://p.scdn.co/mp3-preview/4b32ff10f00af6a41a9073aa55de37fed8620939
427	album	Mura Masa	Mura Masa	Bonzai	Nuggets	edm	2017	https://p.scdn.co/mp3-preview/bdd2003fb801208a9ce5fbc1218b67d307d99343
428	album	Rainbow	Kesha	The Dap-Kings Horns	Woman	pop	2017	https://p.scdn.co/mp3-preview/b7759c3f7098d4c2f9312867df675caf638e1f8f
429	album	Before These Crowded Streets	Dave Matthews Band	None	Stay (Wasting Time)	pop rock	1998	https://p.scdn.co/mp3-preview/4b7ce7dee4b511772558db591928a62fbe0aac3e
430	compilation	20th Century Masters: The Millennium Collection: Best Of Night Ranger	Night Ranger	None	Sister Christian	classic rock	2000	https://p.scdn.co/mp3-preview/a1c0a719f994297d19633d0f4d8dbdc6f6884194
431	album	Rainbow	Kesha	None	Praying	pop	2017	https://p.scdn.co/mp3-preview/f5d8d2d7787d4c69c795dd6682477edd5a50aaaf
432	album	This Is All Yours	alt-J	None	Left Hand Free	indie rock	2014	https://p.scdn.co/mp3-preview/99b4aaddb6198c483b852d8d69f3ac545ea56675
433	album	A Dream in Static	Earthside	Lajon Witherspoon, Moscow Studio Symphony Orchestra	Mob Mentality	djent	2015	https://p.scdn.co/mp3-preview/d7f1c99e678c34da292495ccc050bbe8f14f6b5f
434	single	Lion	Anup Sastry	None	Free Fall	djent	2014	https://p.scdn.co/mp3-preview/5a293024efb77b321301f8dedf4ab2d47f777d33
435	single	Spotify Singles	alt-J	None	Dancing in the Moonlight (It's Caught Me in Its Spotlight) - Live from Spotify Studios, New York City, NY	indie rock	2017	https://p.scdn.co/mp3-preview/3d30406be88764d0457fa4e02f9929f62ce3b3b6
436	album	Visions	Grimes	None	Vowels = Space and Time	pop	2012	https://p.scdn.co/mp3-preview/409fa673695ee5f579b396be36495eaf0ab58563
437	album	Lun	Destiny Potato	None	Take a Picture	djent	2014	https://p.scdn.co/mp3-preview/75ea0ceea41850da53e935807d345e5f9aec5e8b
438	album	Lun	Destiny Potato	None	The Build Up	djent	2014	https://p.scdn.co/mp3-preview/32f12675ee1595e177e949bd8ddc5b562aa1f90e
439	album	Lun	Destiny Potato	None	Blue Sun	djent	2014	https://p.scdn.co/mp3-preview/4c61aaac54615906cd66555c7e1dcaf92f2fd1e4
440	album	Evolve	Imagine Dragons	None	Whatever It Takes	modern rock	2017	https://p.scdn.co/mp3-preview/994c1bb6ecf361190228dcd0ad2404a2d46f3ff1
441	album	The Language of My World	Macklemore	None	Contradiction	pop rap	2005	https://p.scdn.co/mp3-preview/61ebb52f916677a439b1e47f36f0850aaf64eeaa
442	album	The Impossible Kid	Aesop Rock	None	Mystery Fish	hip hop	2016	https://p.scdn.co/mp3-preview/d842dcc7d699fefc7bb2cc016e0d9dc408112d22
443	album	Dreaming With Our Eyes Open	Witt Lowry	None	Tourist	pop rap	2015	https://p.scdn.co/mp3-preview/12a267597b36412126f0289de18cfcf6762287d3
444	album	Our Endless Numbered Days (Deluxe Edition)	Iron & Wine	None	Naked as We Came	indie pop	2004	https://p.scdn.co/mp3-preview/170b5ffe43f0c9eac739166843138cd3f72440f6
445	single	Between The Bars (EP)	The Civil Wars	None	Between the Bars	indie folk	2012	https://p.scdn.co/mp3-preview/770f3e92f6038234b1b9385d9b6b813bf1d82654
446	album	Strictly Rude	Big D and the Kids Table	None	Shining On	ska punk	2007	https://p.scdn.co/mp3-preview/fc146e656de99d09c44852ec3f84b335d9ba380f
447	album	The Hands That Thieve	Streetlight Manifesto	None	The Hands That Thieve	punk	2013	https://p.scdn.co/mp3-preview/12216e327c7cd7774234c17270b2cecc4d58c259
448	album	For Blood And Empire	Anti-Flag	None	This Is the End (For You My Friend)	punk	2006	https://p.scdn.co/mp3-preview/4f85e0ab6f6fe6adb974bc75adf6ce0d98c518cb
449	album	The Hands That Thieve	Streetlight Manifesto	None	Toe to Toe	punk	2013	https://p.scdn.co/mp3-preview/cedecd09fefe5e5ca5d40017e511508b0cb7751d
450	compilation	The Best Of Goldfinger	Goldfinger	None	99 Red Balloons	pop punk	2005	https://p.scdn.co/mp3-preview/174f1f476ef4f1071e0b5c7d30f5277834a51b4d
451	album	Keasbey Nights	Catch 22	None	Keasbey Nights	punk	1998	https://p.scdn.co/mp3-preview/584898c0a733cb6e3086dde7d163ab326c6c468f
452	album	Drunken Lullabies	Flogging Molly	None	What's Left of the Flag	punk	2002	https://p.scdn.co/mp3-preview/31f4e43d0bf0d3c0e59ca10e153ecf7342753f6f
453	album	True Brew	Millencolin	None	True Brew	pop punk	2015	https://p.scdn.co/mp3-preview/ed72a48d51999b21f51157f5b58804a2c85d58e6
454	album	Drunken Lullabies	Flogging Molly	None	Drunken Lullabies	punk	2002	https://p.scdn.co/mp3-preview/8d3029a482fa122ba028eb2737f1464314aad5d3
455	album	Life Is Good	Flogging Molly	None	Until We Meet Again	punk	2017	https://p.scdn.co/mp3-preview/ea6bbb06e9a4ed297120c116c0197db669f5f3bb
456	album	RELAXER	alt-J	None	3WW	indie rock	2017	https://p.scdn.co/mp3-preview/bb14cfa334463b19ab1c97e4626ef20519236ab4
457	album	RELAXER	alt-J	None	House of the Rising Sun	indie rock	2017	https://p.scdn.co/mp3-preview/84b676a6d484c2e62ca6d974cf4ba1f712053f01
458	album	RELAXER	alt-J	None	Hit Me Like That Snare	indie rock	2017	https://p.scdn.co/mp3-preview/4bf125a3368dcae28bb1f766c72f7d698a6ffb17
459	album	RELAXER	alt-J	None	Deadcrush	indie rock	2017	https://p.scdn.co/mp3-preview/37fe3fe46dd7328f128bb05a803764c1a908e37e
460	album	RELAXER	alt-J	None	Adeline	indie rock	2017	https://p.scdn.co/mp3-preview/aa42a4f49fdae73a2d595a74c3619bd9c32be169
461	album	RELAXER	alt-J	None	Last Year	indie rock	2017	https://p.scdn.co/mp3-preview/04f2d85b65ac1e37dc38b5487d138bb2567c2813
462	album	RELAXER	alt-J	None	Pleader	indie rock	2017	https://p.scdn.co/mp3-preview/9a97d252ae7cdd7f7a14d7e9a8a3f894a854fc8f
463	album	RELAXER	alt-J	None	In Cold Blood	indie rock	2017	https://p.scdn.co/mp3-preview/b36d1198f57370c4350178ab20a73c40ab010e64
464	album	Alternative 4	Anathema	None	Fragile Dreams	progressive metal	1998	https://p.scdn.co/mp3-preview/d2fdee2a880953adf4b5072627da27f14fdd6384
465	album	Affinity (Deluxe Edition)	Haken	None	Earthrise	progressive metal	2016	https://p.scdn.co/mp3-preview/d3cd8819ac6a0f34bb4e06ea636d2b11217d6977
466	album	Affinity (Deluxe Edition)	Haken	None	The Architect	progressive metal	2016	https://p.scdn.co/mp3-preview/fc9e45f1e0ba053489324419b51e3d9a7f5b3a53
467	album	Damnation	Opeth	None	In My Time of Need	progressive metal	2003	https://p.scdn.co/mp3-preview/2ccdb68ff0333dcaa0ea2f9c5e0dabb4a95751c6
468	album	Affinity	Haken	None	The Architect	progressive metal	2016	https://p.scdn.co/mp3-preview/fc9e45f1e0ba053489324419b51e3d9a7f5b3a53
469	album	Affinity	Haken	None	The Endless Knot	progressive metal	2016	https://p.scdn.co/mp3-preview/f570fe6c64ac2e556f0b1754b6b068d1ffd0d6e9
470	album	Affinity	Haken	None	1985	progressive metal	2016	https://p.scdn.co/mp3-preview/7ac7a3429888c6bca04f92f60a79780ea9d74384
471	album	More Than You Know	Axwell \\ Ingrosso	None	More Than You Know	edm	2017	https://p.scdn.co/mp3-preview/82a1fb5184bd5c0fddeab5a76b0b6e8ea7ea52c1
472	single	Put The Knife Away	Goldfinger	None	Put The Knife Away	pop punk	2017	https://p.scdn.co/mp3-preview/95e2da829a4d814620d5da861191ce4b8d172b34
473	single	Say Yes	Honors	None	Say Yes	canadian contemporary r&b	2017	https://p.scdn.co/mp3-preview/bf6e669a01d0b6d594cf86c3d31f713a4165ac08
474	album	Hello Rockview	Less Than Jake	None	All My Best Friends Are Metalheads	pop punk	1998	https://p.scdn.co/mp3-preview/0dbf1a24abb41719f550a8ce76cf1a3beb40a01b
475	album	Sex, Love And Rock 'N' Roll	Social Distortion	None	Reach For The Sky	pop punk	2004	https://p.scdn.co/mp3-preview/ab31ee962cd2320c3dcd61ac833c4168c588f6a6
476	album	Somewhere in the Between	Streetlight Manifesto	None	What a Wicked Gang Are We	punk	2007	https://p.scdn.co/mp3-preview/4eb909b356223a8a0351462a36d4690bb2284feb
477	album	Losing Streak	Less Than Jake	None	Never Going Back To New Jersey	pop punk	1996	https://p.scdn.co/mp3-preview/a7cecadc1a8ed9aecdae1f9459162083ff23472d
478	album	Coeur de pirate	Coeur De Pirate	None	Corbeau	french pop	2008	https://p.scdn.co/mp3-preview/b7ad95ede1d2c6ad29205f67b93e59e85ca6e90a
479	album	Lostin Austin	Balancing the Different	None	Stop It (Cb)	pop punk	2014	https://p.scdn.co/mp3-preview/d71d99cc1c7962e7a832af79edb3a8bc69249521
480	album	LP4	Ratatat	None	Grape Juice City	electronica	2010	https://p.scdn.co/mp3-preview/3813e0e52cb2668a7db0d31cb77974be6d09b816
481	album	Classics	Ratatat	None	Loud Pipes	electronica	2006	https://p.scdn.co/mp3-preview/5849558be3e21acb1a5f0a2e942ad764a8e70abc
482	album	Lies for the Liars	The Used	None	Pretty Handsome Awkward	pop punk	2007	https://p.scdn.co/mp3-preview/de96849cd20aa3cfda867ba7bdc387f2acf83c87
483	album	Lies for the Liars	The Used	None	The Bird and the Worm	pop punk	2007	https://p.scdn.co/mp3-preview/232ec4947072d2765b40be161391bbf346ad9d85
484	album	Dying Is Your Latest Fashion	Escape the Fate	None	Situations	pop punk	2006	https://p.scdn.co/mp3-preview/a4344fa63753c999c6e96cf20472e9ae6404da76
485	album	Dead Reflection	Silverstein	None	Retrograde	pop punk	2017	https://p.scdn.co/mp3-preview/7911be027b696f48f9ca6d6c085e2123f49fd637
486	single	Je serai la - Single	Vincent Dupont	None	Je serai la	None	2017	https://p.scdn.co/mp3-preview/c1395b065b4198f3588402ed425a1f04201fd4bf
487	album	Pocket Full Of Kryptonite (Anniversary Edition)	Spin Doctors	None	Two Princes	pop rock	1991	https://p.scdn.co/mp3-preview/34668206165f927a08afe266f9ebe40df7427f1e
488	album	Blur [Special Edition]	Blur	None	Song 2 - 2012 Remaster	pop rock	1997	https://p.scdn.co/mp3-preview/183c0855e94b58dcb267e2b0721d4a3c99260acf
489	album	Dance Gavin Dance	Dance Gavin Dance	None	Uneasy Hearts Weigh The Most	pop punk	2008	https://p.scdn.co/mp3-preview/0565e9e667395c5f89d23d7b4030fd1520839c27
490	album	They're Only Chasing Safety	Underoath	None	A Boy Brushed Red Living In Black And White	pop punk	2004	https://p.scdn.co/mp3-preview/5348e561faf0fbdb50992f5d82b4e5f692d68df5
491	album	In Colour	Jamie xx	Oliver Sim	Stranger In A Room	electronica	2015	https://p.scdn.co/mp3-preview/a11b3e35f024f7bd5904bdea55dd40120968d947
492	album	In Colour	Jamie xx	None	Gosh	electronica	2015	https://p.scdn.co/mp3-preview/9efe53306c164599544b6d693608181d8a18a1a6
493	album	The Way of all Flesh	Gojira	None	VACUITY	alternative metal	2008	https://p.scdn.co/mp3-preview/685cc4e4c03ff79b884a908a18715363c5bbbfd4
494	album	From Mars to Sirius	Gojira	None	The Heaviest Matter Of The Universe	alternative metal	2005	https://p.scdn.co/mp3-preview/16d80b5e2cd34c97d9ee2ee5127c6efee2cd64e5
495	album	Is a Real Boy	Say Anything	None	Alive With the Glory of Love	pop punk	2005	https://p.scdn.co/mp3-preview/0973571e49172da92ccabe2560294f9309f6a870
496	album	Is a Real Boy	Say Anything	None	Wow, I Can Get Sexual Too	pop punk	2005	https://p.scdn.co/mp3-preview/79fe29758b92cf4dc33c765109800ea686555050
497	album	The Used	The Used	None	The Taste of Ink	pop punk	2002	https://p.scdn.co/mp3-preview/ed98107407f0147bd0a0e8f3cfb909046743b7cb
498	album	England Keep My Bones (Deluxe Edition)	Frank Turner	None	Peggy Sang The Blues	folk punk	2011	https://p.scdn.co/mp3-preview/942c06218fefc290f5e03d941cd626e560f66dfe
499	album	Megalithic Symphony Deluxe	AWOLNATION	None	THISKIDSNOTALRIGHT	pop rock	2011	https://p.scdn.co/mp3-preview/16aeb44b727f0cfd4a2d24e74645e25bc4b2abb9
500	album	Eleven Eleven	Dinosaur Pile-Up	None	Bad Penny	modern alternative rock	2015	https://p.scdn.co/mp3-preview/371b4945d5117b9ca2fa9e64e7df271cad8047e6
501	album	Clarity	Zedd	Foxes	Clarity	dance pop	2012	https://p.scdn.co/mp3-preview/2978533425921eb085e1c718dcac55fe5d3412a4
502	album	Evolve	Imagine Dragons	None	Whatever It Takes	modern rock	2017	https://p.scdn.co/mp3-preview/994c1bb6ecf361190228dcd0ad2404a2d46f3ff1
503	album	Pump Up The Valuum	NOFX	None	Dinosaurs Will Die	punk	2000	https://p.scdn.co/mp3-preview/76b4672bcab7910fe67d17ac067b7600c5034076
504	album	Hell Is What You Make It	Breathe Carolina	None	Blackout	pop punk	2011	https://p.scdn.co/mp3-preview/f9a6c751976f4804ea81d4d2bc2462a3fa0ec059
505	album	A Tribute to Movie Hits of the 90's	The Hit Crew	None	Here Comes the Hotstepper	None	2012	https://p.scdn.co/mp3-preview/c6ed476c51491952169db07e22ae501d5ad5100b
506	album	After Laughter	Paramore	None	Idle Worship	pop punk	2017	https://p.scdn.co/mp3-preview/6bc1b3c055968a532bf055436b14cbca794734da
507	compilation	RetroSpective: The Best Of Suzanne Vega	DNA	Suzanne Vega, Neal Slateford, Nick Batt	Tom's Diner - 7" Version	None	2003	https://p.scdn.co/mp3-preview/f8d3e32ff75b68e4723225ec1ea9c80a9c556856
508	album	Rewind	Ini Kamoze	None	Here Comes The Hotstepper	reggae fusion	2013	https://p.scdn.co/mp3-preview/7c43c6dd94a92ccc025a67707c6edb4ca228439a
509	album	Another Level	Blackstreet	Dr. Dre, Queen Pen	No Diggity	hip hop	1996	https://p.scdn.co/mp3-preview/c216640c68846d6587123371495115e119b53f0d
510	album	L'amour Est Laid	Guillaume Grand	None	Toi et moi	french pop	2010	https://p.scdn.co/mp3-preview/d0bc1aef417492f38478c6c60816b64c0ae1b765
511	album	Repenti	Renan Luce	None	La lettre	french pop	2006	https://p.scdn.co/mp3-preview/6a75ef137a3ac75c5268ff3f4ae5a1e4f4f4145f
512	album	New Wave (U.S. Version)	Against Me!	None	Thrash Unreal	punk	2007	https://p.scdn.co/mp3-preview/2fc95dda220f8999b2260d00998f6a074f662c37
513	album	Coeur de pirate	Coeur De Pirate	None	Comme des enfants	french pop	2008	https://p.scdn.co/mp3-preview/a56433e4b6b1748b7b4804ffc24759cd1f38f885
